,id,name,listing_url,bathrooms_text,room_type,bedrooms,beds
75,3803160,Bed and breakfast in Singapore · ★4.0 · 1 bedroom · 1 bed · 8 baths,https://www.airbnb.com/rooms/3803160,8 baths,Private room,1.0,1.0
76,3980202,Bed and breakfast in Singapore · ★4.43 · 1 bedroom · 1 bed · 8 baths,https://www.airbnb.com/rooms/3980202,8 baths,Private room,1.0,1.0
77,3981252,Rental unit in Singapore · 1 bedroom · 1 bed · 1.5 baths,https://www.airbnb.com/rooms/3981252,1.5 baths,Private room,,1.0
78,3990431,Bed and breakfast in Singapore · ★4.30 · 1 bedroom · 1 bed · 8 baths,https://www.airbnb.com/rooms/3990431,8 baths,Private room,1.0,1.0
79,4008423,Hostel in Singapore · ★4.56 · 1 bedroom · 1 bed · 5 shared baths,https://www.airbnb.com/rooms/4008423,5 shared baths,Private room,1.0,1.0
80,4013186,Rental unit in Singapore · 1 bedroom · 1 bed · 1 bath,https://www.airbnb.com/rooms/4013186,1 bath,Private room,1.0,1.0
81,4017084,Rental unit in Singapore · 1 bedroom · 1 bed · 1 bath,https://www.airbnb.com/rooms/4017084,1 bath,Private room,,1.0
82,4054698,Hostel in Singapore · ★4.40 · 1 bedroom · 12 beds · 4 baths,https://www.airbnb.com/rooms/4054698,4 baths,Hotel room,1.0,12.0
83,4069756,Hostel in Singapore · ★4.35 · 1 bedroom · 12 beds · 4 baths,https://www.airbnb.com/rooms/4069756,4 baths,Hotel room,1.0,12.0
84,4271250,Rental unit in Singapore · ★4.94 · 1 bedroom · 2 beds · 1 bath,https://www.airbnb.com/rooms/4271250,1 bath,Entire home/apt,1.0,2.0
85,4360679,Rental unit in Singapore · ★4.41 · 1 bedroom · 1 bed · 1 private bath,https://www.airbnb.com/rooms/4360679,1 private bath,Private room,,1.0
86,4441346,Loft in Singapore · ★5.0 · 1 bedroom · 1 bed · 1.5 baths,https://www.airbnb.com/rooms/4441346,1.5 baths,Entire home/apt,1.0,1.0
