id,name,details,neighbourhood_cleansed,neighbourhood_group_cleansed,picture_url,latitude,longitude,room_type,price,minimum_months,maximum_months,distance_to_mrt,closest_mrt_name,closest_mrt_stop_id,closest_mall_distance,closest_mall_name,accommodates,closest_mall_address,conditioning,BBQ,gym,pool,dryer,Wifi,kitchen,Backyard,TV,refrigerator,Microwave,Oven,Pets,stove,fan
823005527495504331,Rental unit in Rochor,1 bed · 1 bath,Rochor,Central Region,https://a0.muscache.com/pictures/miso/Hosting-823005527495504331/original/cd3300b3-6e5c-4300-80a3-f835fdea5b56.jpeg,1.3018896499913837,103.86146835051213,Entire home/apt,7740,3,37,0.3373989454783707,NICOLL HIGHWAY MRT STATION,CC5,0.1000806658628784,City Gate,2,"371 Beach Rd, #04-01, Singapore 199597",1,0,1,1,0,1,1,0,1,1,1,0,1,1,0
823105721162934258,Hotel in Downtown Core,1 bed · 1 private bath,Downtown Core,Central Region,https://a0.muscache.com/pictures/26f68538-f6bb-4e1d-b684-72fce0177b1e.jpg,1.2820665432751754,103.85942387175756,Private room,19530,0,12,0.0438453810971319,BAYFRONT MRT STATION,DT16 / CE1,0.1874779469829919,The Shoppes at Marina Bay Sands,3,2 Bayfront Ave Marina Bay Sands,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0
823117062173521581,Hotel in Downtown Core,1 bed · 1 private bath,Downtown Core,Central Region,https://a0.muscache.com/pictures/0fd1c2a2-92d0-48a0-82dc-d63afcfc74d9.jpg,1.2827450986906306,103.86013225857424,Private room,19530,0,12,0.1519063483133339,BAYFRONT MRT STATION,DT16 / CE1,0.0817750078012733,MBS,3,"10 Bayfront Ave, Singapore 018956",1,0,0,1,0,1,0,0,1,0,0,0,0,0,0
823723343533782820,Rental unit in Novena,1 bed · 1 bath,Novena,Central Region,https://a0.muscache.com/pictures/miso/Hosting-823723343533782820/original/c197e0c8-e974-4870-9400-6600bb68de56.jpeg,1.325105176629394,103.850167176385,Entire home/apt,7770,0,37,0.8752024636685979,NOVENA MRT STATION,NS20,0.0624635281849072,Balestier Plaza,2,"400 Balestier Rd, Singapore 329802",1,0,1,0,1,1,1,0,1,1,1,0,0,1,0
823800739642093140,Rental unit in Geylang,2 beds · 1 bath,Geylang,Central Region,https://a0.muscache.com/pictures/prohost-api/Hosting-823800739642093140/original/624b7cc3-8bc0-4257-92a6-0782837dd4c6.jpeg,1.318847,103.9032298,Entire home/apt,7350,3,37,0.1036592005178994,EUNOS MRT STATION,EW7,0.2393608029225144,Icon @ Changi,4,"228 Changi Rd, Singapore 419741",1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
823988366264665533,Townhouse in Kallang,1 bed · 1.5 shared baths,Kallang,Central Region,https://a0.muscache.com/pictures/ed082123-bf75-4204-940c-8c01900a113f.jpg,1.31328,103.84581,Private room,2250,3,12,0.7432822998697097,LITTLE INDIA MRT STATION,DT12,0.5041848056246405,United Square Shopping Mall,2,"101 Thomson Rd, Singapore",1,0,0,0,1,1,1,1,1,1,1,1,1,1,0
824228729224079234,Rental unit in Kallang,1 bed · 1 bath,Kallang,Central Region,https://a0.muscache.com/pictures/miso/Hosting-824228729224079234/original/855fdd92-80a3-498c-b4aa-2d6943dd64da.jpeg,1.303539494097414,103.86139825580094,Entire home/apt,6540,3,37,0.4533166301204608,LAVENDER MRT STATION,EW11,0.0216907088811759,Textile Centre,2,"200 Jln Sultan, Singapore 199018",1,0,1,1,0,1,1,0,1,1,1,0,1,1,0
824328676429321602,Rental unit in Novena,1 bed · 1 bath,Novena,Central Region,https://a0.muscache.com/pictures/miso/Hosting-824328676429321602/original/265eb2db-b1c9-41d6-908c-cd2f36c12272.jpeg,1.3194372444500622,103.84699714464948,Entire home/apt,8790,0,12,0.3698045539439391,NOVENA MRT STATION,NS20,0.342859925563588,Velocity＠Novena Square,2,"238 Thomson Rd, Singapore",1,0,1,1,0,1,1,0,1,1,1,0,0,1,0
825166191429610435,Townhouse in Kallang,1 bed · 1.5 shared baths,Kallang,Central Region,https://a0.muscache.com/pictures/bf15dffa-d9f1-4d2f-ab94-c66f3088d9e9.jpg,1.3132577562532082,103.84767039022935,Private room,1800,3,12,0.6814116544863642,LITTLE INDIA MRT STATION,DT12,0.630602604294327,United Square Shopping Mall,1,"101 Thomson Rd, Singapore",1,0,0,0,0,1,1,0,1,0,0,0,0,0,0
825255331473955825,Rental unit in Jurong East,3 beds · 2 baths,Jurong East,West Region,https://a0.muscache.com/pictures/8e691651-370e-4c39-9ba5-ff37ce2e3734.jpg,1.3375124449246971,103.74601966148636,Entire home/apt,10500,1,12,0.6381570967636437,JURONG EAST MRT STATION,EW24 / NS1,0.3134404022463791,IMM,6,"2 Jurong East Street 21, Singapore",1,1,1,1,0,1,1,1,1,1,1,0,0,1,0
825579456713831810,Rental unit in Downtown Core,3 beds · 2.5 baths,Downtown Core,Central Region,https://a0.muscache.com/pictures/miso/Hosting-825579456713831810/original/1576a18b-8219-4f26-b410-40ccfc85a2d5.jpeg,1.2766886697264848,103.84953798408078,Entire home/apt,37680,0,12,0.408829418113511,TANJONG PAGAR MRT STATION,EW15,0.2881744845166754,MDP Industries,4,"112 Robinson Rd, Singapore 068902",1,0,0,1,1,1,1,0,1,0,0,0,0,0,0
825592428687196191,Serviced apartment in Geylang,3 bedrooms · 3 beds · 2 baths,Geylang,Central Region,https://a0.muscache.com/pictures/miso/Hosting-820231423212934260/original/8bc99363-53ff-4ed6-a485-cb5b4948dfd1.jpeg,1.31279,103.87928,Entire home/apt,12780,0,12,0.571434313675057,ALJUNIED MRT STATION,EW9,0.4589218768554056,Guillemard Village,13,"102 Guillemard Rd, Singapore 399719",1,0,0,1,1,1,1,0,1,1,0,0,0,1,0
