Unnamed: 0,id,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,room_type,price,minimum_months,maximum_months,distance_to_mrt,closest_mrt_name,closest_mrt_stop_id,closest_mall_distance,closest_mall_name,closest_mall_address,conditioning,BBQ,gym,pool,dryer,Wifi,kitchen,Backyard,TV,refrigerator,Microwave,Oven,Pets,stove,fan,name,details,accommodates,picture_url,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,listing_url,total_bedrooms,total_beds,total_baths,bath_type
2017,47927731,Novena,Central Region,1.3175,103.84829,Entire home/apt,4050,3,37,0.59433287326366,NOVENA MRT STATION,NS20,0.5143846905822892,United Square Shopping Mall,"101 Thomson Rd, Singapore",1,0,1,1,1,1,1,0,1,1,1,0,0,0,0,Serviced apartment in Novena,1 bath,2,https://a0.muscache.com/pictures/812951c4-b8ad-4ada-88b2-a55e954a5d45.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.airbnb.com/rooms/47927731,1.0,1.0,1.0,Private
2018,47927795,Novena,Central Region,1.31729,103.84692,Entire home/apt,4650,3,37,0.4909955212119694,NOVENA MRT STATION,NS20,0.3614915936820342,United Square Shopping Mall,"101 Thomson Rd, Singapore",1,0,1,1,1,1,1,0,1,1,1,0,0,1,0,Serviced apartment in Novena,1 bath,2,https://a0.muscache.com/pictures/e510252b-b009-4417-a5af-4e69942cc62e.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.airbnb.com/rooms/47927795,1.0,1.0,1.0,Private
2019,47927882,Novena,Central Region,1.31917,103.84845,Entire home/apt,7740,3,37,0.5331411765136874,NOVENA MRT STATION,NS20,0.5070019140928111,Velocity＠Novena Square,"238 Thomson Rd, Singapore",1,0,1,1,1,1,1,0,1,1,1,0,0,1,0,Serviced apartment in Novena,1 bedroom · 1 bath,2,https://a0.muscache.com/pictures/4bc8beda-fbb5-419c-a3f9-a7094a715ca8.jpg,5.0,5.0,5.0,5.0,5.0,5.0,4.67,https://www.airbnb.com/rooms/47927882,1.0,1.0,1.0,Private
2020,47931824,Queenstown,Central Region,1.29575,103.80359,Entire home/apt,12030,3,37,0.2735390648994,QUEENSTOWN MRT STATION,EW19,0.793466266091573,Anchorpoint Shopping Centre,"370 Alexandra Rd, Singapore",1,0,1,1,1,1,1,0,1,1,1,0,0,0,1,Rental unit in Queenstown,2 beds · 1 bath,4,https://a0.muscache.com/pictures/a71b013d-877d-4e9d-b633-2e74f80d58ca.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.airbnb.com/rooms/47931824,2.0,2.0,1.0,Private
2021,47945468,Outram,Central Region,1.2795,103.84329,Private room,3810,0,12,0.4140662618367478,OUTRAM PARK MRT STATION,NE3,0.2354109601371368,Elegance Beauty & Slimming,"10 Anson Rd, International Plaza, Singapore 079903",1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,Boutique hotel in Outram,Studio · 1 bed · 1 shared bath,1,https://a0.muscache.com/pictures/miso/Hosting-47945468/original/3583e8f6-a4ad-4c06-87bd-0d967eba44f9.jpeg,4.77,4.82,4.73,4.72,4.84,4.91,4.62,https://www.airbnb.com/rooms/47945468,1.0,1.0,1.0,Private
2022,47945578,Downtown Core,Central Region,1.27829,103.84552,Private room,6420,0,12,0.2003642209931983,TANJONG PAGAR MRT STATION,EW15,0.0631327769229001,Elegance Beauty & Slimming,"10 Anson Rd, International Plaza, Singapore 079903",1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,Boutique hotel in Downtown Core,Studio · 1 bed · 1 private bath,1,https://a0.muscache.com/pictures/miso/Hosting-47945578/original/fe32b500-0a33-4afa-9c2e-dd093664e9f5.jpeg,4.3,4.8,4.9,4.1,4.1,5.0,4.3,https://www.airbnb.com/rooms/47945578,1.0,1.0,1.0,Private
2023,47945703,Outram,Central Region,1.27752,103.84409,Private room,4980,0,12,0.2263504163377466,TANJONG PAGAR MRT STATION,EW15,0.1960374404868037,Elegance Beauty & Slimming,"10 Anson Rd, International Plaza, Singapore 079903",1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,Boutique hotel in Outram,Studio · 1 bed · 1 shared bath,2,https://a0.muscache.com/pictures/miso/Hosting-47945703/original/2abc9c45-bace-4047-8864-548efe50b911.jpeg,4.72,4.78,4.67,4.67,4.67,4.89,4.56,https://www.airbnb.com/rooms/47945703,1.0,1.0,1.0,Private
2024,47945986,Outram,Central Region,1.27933,103.8434,Private room,7140,0,12,0.415434636412632,TANJONG PAGAR MRT STATION,EW15,0.2181317767704304,Elegance Beauty & Slimming,"10 Anson Rd, International Plaza, Singapore 079903",1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,Boutique hotel in Outram,Studio · 1 bed · 1 private bath,2,https://a0.muscache.com/pictures/miso/Hosting-47945986/original/6959a248-b7ff-41bb-9850-e0cb39aaca5b.jpeg,4.65,4.65,4.54,4.69,4.92,4.96,4.38,https://www.airbnb.com/rooms/47945986,1.0,1.0,1.0,Private
2025,48007776,Tanglin,Central Region,1.31544,103.83089,Private room,3600,3,37,0.7463942184887904,STEVENS MRT STATION,DT10,0.5130892158741013,Balmoral Plaza,"271 Bukit Timah Rd, Singapore 259708",1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,Condo in Tanglin,2 beds · 1 private bath,2,https://a0.muscache.com/pictures/cb8578d6-4721-47ec-96bf-d9d34c4ddf66.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.airbnb.com/rooms/48007776,1.0,2.0,1.0,Private
2026,48019222,Outram,Central Region,1.2813,103.84443,Private room,3600,0,12,0.3580226724518108,CHINATOWN MRT STATION,NE4,0.1707734977658468,Chinatown Complex,"335 Smith St, S",1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,Boutique hotel in Outram,Studio · 1 bed · 1 shared bath,1,https://a0.muscache.com/pictures/miso/Hosting-48019222/original/f4f5bbc7-939c-4e40-a153-63e95e611692.jpeg,4.73,4.83,4.56,4.74,4.85,4.94,4.62,https://www.airbnb.com/rooms/48019222,1.0,1.0,1.0,Private
2027,48019325,Outram,Central Region,1.28267,103.84564,Private room,4290,0,12,0.2662802634325025,CHINATOWN MRT STATION,DT19,0.026834264122311,Chinatown,"South Bridge Rd, 227-233, Singapore",1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,Boutique hotel in Outram,Studio · 1 bed · 1 shared bath,2,https://a0.muscache.com/pictures/ce936719-6fd5-41ae-9f53-c7220fb4a5e7.jpg,4.75,4.7,4.65,4.75,4.95,4.95,4.5,https://www.airbnb.com/rooms/48019325,1.0,1.0,1.0,Private
2028,48019417,Outram,Central Region,1.28283,103.84501,Private room,4560,0,12,0.2222384100481552,CHINATOWN MRT STATION,DT19,0.0492539496907799,Chinatown,"South Bridge Rd, 227-233, Singapore",1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,Boutique hotel in Outram,1 bedroom · 1 bed · 1 shared bath,2,https://a0.muscache.com/pictures/3d34c233-8d7a-4bac-9dc7-6c54a2cfc69a.jpg,4.77,4.79,4.51,4.88,4.88,4.91,4.58,https://www.airbnb.com/rooms/48019417,1.0,1.0,1.0,Private
2029,48019515,Outram,Central Region,1.2808,103.84586,Private room,4350,0,12,0.3180841143062782,TELOK AYER MRT STATION,DT18,0.2294091442465507,Chinatown,"South Bridge Rd, 227-233, Singapore",1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,Boutique hotel in Outram,Studio · 2 beds · 1 shared bath,2,https://a0.muscache.com/pictures/3e9cfcb3-ec66-4115-86db-6b8ddbc166f9.jpg,4.67,4.94,4.72,4.5,4.78,4.94,4.72,https://www.airbnb.com/rooms/48019515,1.0,2.0,1.0,Private
2030,48033280,Rochor,Central Region,1.30658,103.85367,Private room,4080,0,12,0.2397117130068718,JALAN BESAR MRT STATION,DT22,0.3011202681441524,Tekka Place,"2 Serangoon Rd, Singapore",1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,Boutique hotel in Rochor,Studio · 1 bed · 1 shared bath,2,https://a0.muscache.com/pictures/miso/Hosting-48033280/original/aaf09b5f-0dae-4128-930e-9af5810645f4.jpeg,4.46,4.63,4.27,4.49,4.71,4.76,4.37,https://www.airbnb.com/rooms/48033280,1.0,1.0,1.0,Private
2031,48033351,Rochor,Central Region,1.3062,103.85596,Private room,3810,0,12,0.1035580245133867,JALAN BESAR MRT STATION,DT22,0.2195091167406142,New World Centre,"1 Jln Berseh, Singapore 209037",1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,Boutique hotel in Rochor,Studio · 2 beds · 1 shared bath,2,https://a0.muscache.com/pictures/fba4ecc0-dcc3-4fce-a2aa-c050606a1af8.jpg,4.31,4.47,4.25,4.55,4.66,4.66,4.32,https://www.airbnb.com/rooms/48033351,1.0,2.0,1.0,Private
2032,48033436,Rochor,Central Region,1.30469,103.85578,Private room,5430,0,12,0.0862064067759608,JALAN BESAR MRT STATION,DT22,0.3564877144676706,New World Centre,"1 Jln Berseh, Singapore 209037",1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,Boutique hotel in Rochor,Studio · 1 bed · 1 private bath,2,https://a0.muscache.com/pictures/7adf4419-5b91-4e60-a838-5489eb50c8ac.jpg,4.38,4.57,4.32,4.46,4.69,4.82,4.44,https://www.airbnb.com/rooms/48033436,1.0,1.0,1.0,Private
