,name,lat,lng,stop_id
77,RANGGUNG LRT STATION,1.384233561,103.8971947,SE5
78,PHOENIX LRT STATION,1.378618844,103.7580341,BP5
79,SEGAR LRT STATION,1.387772131,103.7695984,BP11
80,BRAS BASAH MRT STATION,1.296861687,103.8506674,CC2
81,MACPHERSON MRT STATION,1.326345372,103.890287,CC10
82,TAMPINES EAST MRT STATION,1.356191483,103.9546345,DT33
83,TAMPINES WEST MRT STATION,1.345515305,103.938437,DT31
84,GEYLANG BAHRU MRT STATION,1.321505838,103.8719006,DT24
85,BENDEMEER MRT STATION,1.313672233,103.862978,DT23
86,BENCOOLEN MRT STATION,1.29886427,103.8503843,DT21
87,PROMENADE MRT STATION,1.292891552,103.860853,DT15
88,BUGIS MRT STATION,1.299550746,103.8568683,DT14
89,KENT RIDGE MRT STATION,1.293462633,103.7846314,CC24
90,MACPHERSON MRT STATION,1.326076883,103.8893506,DT26
91,PUNGGOL MRT STATION,1.404546728,103.9020726,NE17
92,TANJONG PAGAR MRT STATION,1.276521247,103.8458642,EW15
93,ONE-NORTH MRT STATION,1.299759879,103.7874575,CC23
94,BISHAN MRT STATION,1.35130868,103.8491544,CC15
95,STADIUM MRT STATION,1.30284063,103.8753503,CC6
96,BUGIS MRT STATION,1.300465076,103.8557064,EW12
97,SOMERSET MRT STATION,1.300260055,103.8390752,NS23
98,ORCHARD MRT STATION,1.303981012,103.8322415,NS22
99,JALAN BESAR MRT STATION,1.305403642,103.855477,DT22
100,SENGKANG MRT STATION,1.391694626,103.8954847,NE16
101,BUKIT BROWN MRT STATION,1.333728882,103.8306896,CC18
102,MOUNTBATTEN MRT STATION,1.306201905,103.8825281,CC7
103,KOVAN MRT STATION,1.360179171,103.8850649,NE13
104,FORT CANNING MRT STATION,1.292478928,103.8443283,DT20
105,FARRER ROAD MRT STATION,1.317510612,103.8075861,CC20
106,EXPO MRT STATION,1.335382137,103.9623757,DT35
107,DOWNTOWN MRT STATION,1.27944619,103.8528404,DT17
108,BUONA VISTA MRT STATION,1.306491669,103.7906534,CC22
109,ESPLANADE MRT STATION,1.293321608,103.8555041,CC3
110,NICOLL HIGHWAY MRT STATION,1.299766835,103.863637,CC5
111,CALDECOTT MRT STATION,1.337674508,103.8395298,CC17
112,MARINA BAY MRT STATION,1.276427355,103.8545978,NS27
113,MARINA BAY MRT STATION,1.276150637,103.855094,CE2
114,LABRADOR PARK MRT STATION,1.272332732,103.8029396,CC27
115,CHINATOWN MRT STATION,1.284359578,103.8434268,NE4
116,CHINATOWN MRT STATION,1.284748969,103.8444512,DT19
117,NEWTON MRT STATION,1.313607102,103.837811,DT11
118,TAN KAH KEE MRT STATION,1.325883209,103.8073222,DT8
119,TIONG BAHRU MRT STATION,1.286193393,103.8270194,EW17
120,HILLVIEW MRT STATION,1.362344869,103.7674183,DT3
121,KING ALBERT PARK MRT STATION,1.335665121,103.7838067,DT6
122,MATTAR MRT STATION,1.326876715,103.8832475,DT25
123,UBI MRT STATION,1.329956826,103.8992525,DT27
124,BEAUTY WORLD MRT STATION,1.341223176,103.7757943,DT5
125,KAKI BUKIT MRT STATION,1.334967302,103.9084597,DT28
126,TAMPINES MRT STATION,1.355077429,103.9430605,DT32
127,BEDOK NORTH MRT STATION,1.334742117,103.9179783,DT29
128,DHOBY GHAUT MRT STATION,1.298701307,103.8461152,NS24
129,SERANGOON MRT STATION,1.350595256,103.8723681,CC13
130,WOODLEIGH MRT STATION,1.339190046,103.8708183,NE11
131,NOVENA MRT STATION,1.320440791,103.8438256,NS20
132,SERANGOON MRT STATION,1.349707875,103.8735748,NE12
133,BEDOK RESERVOIR MRT STATION,1.33660783,103.9322346,DT30
134,MARINA SOUTH PIER MRT STATION,1.271336711,103.8628598,NS28
135,FARRER PARK MRT STATION,1.31235984,103.8541771,NE8
136,PAYA LEBAR MRT STATION,1.317430268,103.8921788,CC9
137,BARTLEY MRT STATION,1.342828338,103.8797589,CC12
138,DAKOTA MRT STATION,1.308382639,103.8886626,CC8
139,PASIR PANJANG MRT STATION,1.276213523,103.7913503,CC26
140,OUTRAM PARK MRT STATION,1.279764543,103.8395747,NE3
141,CLARKE QUAY MRT STATION,1.288386024,103.8465552,NE5
142,BISHAN MRT STATION,1.350838988,103.848144,NS17
143,BOTANIC GARDENS MRT STATION,1.322423979,103.8161317,DT9
144,MARYMOUNT MRT STATION,1.348707263,103.8394231,CC16
145,HAW PAR VILLA MRT STATION,1.282542157,103.7818105,CC25
146,LORONG CHUAN MRT STATION,1.351612171,103.8641519,CC14
147,LAVENDER MRT STATION,1.30735702,103.8628292,EW11
148,DHOBY GHAUT MRT STATION,1.299705459,103.8454882,NE6
149,DHOBY GHAUT MRT STATION,1.298842816,103.8462391,CC1
150,TAI SENG MRT STATION,1.335433322,103.8881949,CC11
151,ROCHOR MRT STATION,1.303916484,103.8524217,DT13
152,LITTLE INDIA MRT STATION,1.307198223,103.8485846,DT12
