,name,lat,lng,formatted_address
4677,YewTee Point,1.39716,103.7468352,"21 Choa Chu Kang North 6, Singapore"
4678,Pioneer Mall,1.3421413,103.6974182,"638 Jurong West Street 61, 61, Singapore"
4679,Jem,1.3328303,103.7432656,"50 Jurong Gateway Rd, Singapore"
4680,Gek Poh Shopping Centre,1.3488851999999998,103.6976313,"Gek Poh Shopping Centre, 762 Jurong West Street 75, Singapore"
4681,Taman Jurong Shopping Centre,1.3342811,103.7203739,"399 Yung Sheng Rd, Singapore"
4682,Causeway Point,1.4360933,103.7859471,"1 Woodlands Square, Singapore"
4683,Junction Nine,1.4331427,103.8415583,"18 Yishun Ave 9, Singapore"
4684,Sembawang Shopping Centre,1.4419459,103.8250936,"604 Sembawang Rd, Singapore"
4685,Canberra Plaza,1.443256,103.830463,"133 Canberra View, Singapore"
4686,Khatib Central,1.4162387,103.8350761,"848 Yishun Street 81, Singapore"
4687,Sembawang Mart,1.453728,103.8196335,"511 Canberra Rd, Singapore"
4688,The Seletar Mall,1.3915208,103.8760834,"33 Sengkang West Ave, Singapore"
5233,Clarke Quay,1.2906024,103.8464742,"3 River Valley Rd, Singapore"
5503,Hillion mall,1.3785171,103.7632971,"17 Petir Rd, Singapore"
5662,888 Plaza,1.4370769,103.7952769,"888 Woodlands Drive 50, Singapore 730888"
6163,Wisma Atria,1.3037148,103.8332642,"435 Orchard Rd, Wisma Atria, Singapore 238877"
6573,Fairprice Hub,1.3271936000000002,103.6783344,"91 Joo Koon Cir, Singapore 629116"
6795,Prime Nutrition Dr.Amit 📲82921225 Singapore,1.3113982,103.8565897,"City Square Mall 9th Floor #09-09, Office 16 Farrer Park MRT Exit i, 180 Kitchener Rd"
7249,NTU North Spine Plaza,1.347064,103.6808217,"76 Nanyang Dr, Singapore"
7451,Tampines Hub KFC,1.3529604,103.9403451,"1 Tampines Walk, #01-13/14 Our Tampines Hub, Singapore"
7594,Jurong Point,1.3397443000000002,103.7067297,"1 Jurong West Central 2, Singapore"
7597,Bugis+,1.2995955,103.8542191,"201 Victoria St, Singapore 188067"
7614,Westgate,1.3345013,103.7426077,"3 Gateway Dr, Singapore"
7630,Downtown East,1.3776278999999998,103.9546233,"1 Pasir Ris Cl, Singapore"
7638,Plaza Singapura,1.3005316999999998,103.8452356,"68 Orchard Rd, Singapore"
7639,Great World City,1.2936417,103.8319293,"1 Kim Seng Promenade, Singapore"
7656,Northpoint City,1.4279686000000005,103.8364152,"930 Yishun Ave 2, Singapore"
7689,JCube,1.33331,103.7401992,"2 Jurong East Central 1, Singapore"
7939,Tiong Bahru Plaza,1.2865596,103.8275427,"298 Tiong Bahru Rd, Singapore"
8179,SheerSecret@BHG Bugis,1.2996579,103.8561141,"200 Victoria St, BHG Bugis, Singapore"
