,name,lat,lng,formatted_address
95,Balestier Hill Shopping Centre Block 2,1.3259031,103.8432012,"Balestier Rd, Singapore"
96,Lucky Chinatown,1.283644,103.8433191,"211 New Bridge Rd, Singapore 059432"
97,Blk 253 Choa Chu Kang Market & Food Centre,1.3766662,103.7445867,"Choa Chu Kang Ave 1, Singapore"
98,Teck Whye Shopping Centre,1.3813148000000002,103.7524954,"2 Teck Whye Ln, Singapore 688799"
99,Orchard Building,1.3014651000000002,103.8373103,"1 Grange Rd, Singapore 239693"
100,Orchard Plaza - Drink and KTV,1.3010249,103.8410995,"150 Orchard Rd, Singapore 238841"
101,Marsiling Mall,1.4335025,103.7798823,"4 Woodlands Street 12, Singapore 738620"
102,La Vida - White Sands,1.3724166000000002,103.9496584,"1 Pasir Ris Central Street 3, #04-09, Singapore 518457"
103,Zhongshan Mall,1.3270618,103.8464431,"20 Ah Hood Rd, Singapore 329984"
104,New Bridge Centre,1.2829051,103.8427374,"336 Smith St, Singapore 050336"
105,Jubilee Square,1.3717025,103.8476215,"61 Ang Mo Kio Ave 8, Singapore 569814"
106,Icon @ Changi,1.3171587,103.9045656,"228 Changi Rd, Singapore 419741"
107,Golden Mile Tower,1.3019082,103.8638479,"6001 Beach Rd, Singapore 199589"
108,Cheng San Centre,1.3736377,103.8546048,"532 Ang Mo Kio Ave 10, Singapore 560532"
109,Far East Square,1.2831684,103.8480136,"19 China St, Singapore 049561"
110,Chevron House,1.2841089,103.852015,"30 Raffles Place, Singapore 048622"
111,Tampines N2 Shopping Street,1.3527441999999998,103.953689,"208A Tampines Ave 2, Singapore 521208"
112,Paragon Shopping Centre,1.3050619,103.8353052,"3 Mount Elizabeth, MT Elizabeth Hospital, Singapore 228510"
113,Northpoint Shopping Mall,1.4279685,103.8364153,Singapore
114,Raffles Holland V Mall,1.3105584,103.7961823,"118 Holland Ave, Singapore 278973"
115,kcuts @Holland Piazza,1.3107627,103.7952088,"3 Lor Liput, #B1-01, Singapore 277725"
116,King's Arcade Shopping Centre,1.3233285,103.8108037,"559 Bukit Timah Rd, Singapore 269695"
117,Purity Haven,1.3524927,103.9438027,"2 Tampines Central 5, #03-25 Century Square, Singapore 529509"
118,North Point City,1.4284574,103.8361884,"Yishun Central 1, Singapore"
119,Thai Dynasty Cuisine @Nex Food Junction,1.3509338,103.8717532,"23 Serangoon Central, #04-36/37 Nex, Singapore 556083"
120,7 Temasek Boulevard,1.2648218,103.8182191,"1 Harbourfront Ave, Keppel Bay Tower, Singapore 098632"
121,Knightsbridge,1.3030643999999998,103.8361853,"270 Orchard Rd, Singapore 238857"
123,Hougang Centre,1.3719606000000002,103.8934394,"Hougang Central, Singapore"
124,Fook Hai Building,1.2850486,103.8464953,"150 South Bridge Rd, Singapore 058727"
125,Katong Plaza,1.3043247,103.9037455,"1 Brooke Rd, Singapore 429979"
126,Mandaii Connection Between Camer,1.4084457,103.7567832,"7 Mandai Link, Singapore 728664"
127,VIIO @ Balestier,1.3268632,103.8459236,"520 Balestier Rd, Singapore 329853"
128,Esplanade Xchange,1.2933113,103.8563653,"1 Raffles Blvd, Singapore 039593"
129,The Woodgrove,1.4291643,103.7810781,"30 Woodlands Ave 1, Singapore 739065"
130,Cluny Court,1.3226478000000002,103.8142803,"501 Bukit Timah Rd, Singapore 259760"
131,The Riverwalk,1.2749455,103.8434094,"100 Tras St, 100AM #16-0, Singapore 079027"
132,Joo Chiat Complex,1.315681,103.8988707,"1 Joo Chiat Rd, Singapore 420001"
133,Our Tampines Hub (North Plaza Entrance,1.3541097,103.9403594,"Tampines Walk, Singapore"
134,Wilkie Edge,1.3022938,103.8496144,"8 Wilkie Rd, #01-22, Singapore 228095"
135,Free?fire?,1.2990363,103.7897678,"1 Fusionopolis Link, Singapore"
136,Yew Tee Square,1.3980076,103.7468328,"624 Choa Chu Kang Street 62, Singapore 680624"
